iter	Passed	Remaining
412	3580	5089
413	3590	5082
414	3599	5073
415	3607	5065
416	3616	5055
417	3624	5046
418	3633	5038
419	3642	5029
420	3650	5020
421	3659	5011
422	3668	5003
423	3676	4995
424	3685	4986
425	3695	4979
426	3704	4970
427	3712	4961
428	3718	4948
429	3724	4937
430	3730	4925
431	3739	4917
432	3748	4908
433	3756	4898
434	3765	4890
435	3772	4880
436	3781	4872
437	3790	4863
438	3799	4855
439	3808	4847
440	3817	4838
441	3826	4830
442	3835	4822
443	3844	4813
444	3852	4805
445	3861	4796
446	3870	4788
447	3878	4778
448	3886	4769
449	3892	4757
450	3897	4744
451	3905	4734
452	3913	4726
453	3922	4717
454	3931	4709
455	3939	4699
456	3947	4690
457	3956	4682
458	3966	4674
459	3974	4665
460	3983	4657
461	3991	4648
462	3999	4639
463	4008	4630
464	4017	4622
465	4026	4613
466	4034	4604
467	4043	4595
468	4051	4587
469	4060	4579
470	4069	4570
471	4075	4558
472	4080	4546
473	4086	4535
474	4095	4526
475	4104	4518
476	4113	4510
477	4122	4501
478	4130	4492
479	4138	4483
480	4147	4475
481	4156	4466
482	4165	4458
483	4173	4449
484	4181	4439
485	4189	4430
486	4198	4422
487	4206	4413
488	4215	4405
489	4225	4397
490	4233	4388
491	4242	4380
492	4249	4369
493	4255	4358
494	4261	4347
495	4268	4337
496	4276	4328
497	4285	4319
498	4294	4311
499	4302	4302
500	4311	4294
501	4319	4285
502	4327	4276
503	4335	4266
504	4345	4259
505	4353	4250
506	4361	4241
507	4370	4232
508	4379	4224
509	4388	4216
510	4396	4207
511	4405	4198
512	4413	4190
513	4423	4182
514	4430	4172
515	4437	4161
516	4443	4150
517	4449	4140
518	4458	4132
519	4466	4122
520	4475	4114
521	4482	4104
522	4491	4096
523	4500	4088
524	4508	4079
525	4517	4070
526	4525	4061
527	4533	4053
528	4542	4044
529	4550	4035
530	4560	4028
531	4569	4019
532	4577	4010
533	4586	4002
534	4595	3993
535	4604	3986
536	4612	3976
537	4618	3966
538	4627	3957
539	4635	3948
540	4644	3940
541	4653	3932
542	4662	3924
543	4671	3915
544	4679	3906
545	4687	3897
546	4696	3889
547	4705	3880
548	4713	3872
549	4722	3863
550	4731	3855
551	4740	3846
552	4749	3838
553	4758	3830
554	4767	3822
555	4775	3813
556	4784	3805
557	4794	3797
558	4801	3787
559	4807	3777
560	4816	3769
561	4825	3760
562	4833	3751
563	4842	3743
564	4850	3734
565	4859	3726
566	4868	3717
567	4876	3709
568	4885	3700
569	4894	3692
570	4902	3683
571	4910	3674
572	4918	3665
573	4927	3657
574	4937	3649
575	4945	3640
576	4953	3631
577	4963	3623
578	4973	3616
579	4979	3606
580	4986	3596
581	4995	3587
582	5004	3579
583	5012	3570
584	5021	3562
585	5029	3553
586	5038	3544
587	5047	3536
588	5055	3527
589	5064	3519
590	5073	3510
591	5082	3502
592	5090	3493
593	5099	3485
594	5106	3476
595	5115	3467
596	5123	3458
597	5132	3450
598	5140	3441
599	5151	3434
600	5158	3424
601	5165	3415
602	5173	3405
603	5181	3397
604	5190	3388
605	5198	3380
606	5207	3371
607	5216	3363
608	5225	3354
609	5233	3346
610	5242	3337
611	5251	3329
612	5259	3320
613	5267	3311
614	5276	3302
615	5284	3293
616	5291	3284
617	5298	3275
618	5303	3264
619	5310	3255
620	5318	3246
621	5326	3236
622	5334	3228
623	5340	3217
624	5345	3207
625	5351	3197
626	5359	3188
627	5366	3178
628	5373	3169
629	5382	3160
630	5390	3152
631	5396	3142
632	5403	3132
633	5408	3122
634	5415	3112
635	5424	3104
636	5432	3095
637	5439	3086
638	5445	3076
639	5452	3066
640	5459	3057
641	5466	3048
642	5473	3039
643	5481	3030
644	5488	3021
645	5497	3012
646	5505	3003
647	5512	2994
648	5520	2985
649	5527	2976
650	5532	2966
651	5537	2955
652	5541	2944
653	5546	2934
654	5550	2923
655	5556	2913
656	5561	2903
657	5569	2894
658	5576	2885
659	5584	2876
660	5590	2867
661	5598	2858
662	5606	2849
663	5613	2840
664	5621	2831
665	5629	2823
666	5636	2814
667	5644	2805
668	5653	2797
669	5662	2788
670	5670	2780
671	5679	2771
672	5687	2763
673	5696	2755
674	5706	2747
675	5713	2738
676	5719	2728
677	5725	2719
678	5733	2710
679	5742	2702
680	5750	2693
681	5759	2685
682	5768	2677
683	5776	2668
684	5785	2660
685	5793	2651
686	5801	2643
687	5810	2634
688	5818	2626
689	5827	2618
690	5835	2609
691	5844	2601
692	5852	2592
693	5860	2583
694	5868	2575
695	5875	2566
696	5884	2557
697	5894	2550
698	5904	2542
699	5913	2534
700	5923	2526
701	5932	2518
702	5940	2509
703	5949	2501
704	5957	2492
705	5966	2484
706	5974	2476
707	5982	2467
708	5991	2459
709	5999	2450
710	6008	2442
711	6016	2433
712	6025	2425
713	6032	2416
714	6041	2408
715	6049	2399
716	6058	2391
